at,userName,score,content,cleaning,case_folding,normalisasi,tokenize,stopword_removal,steming_data,content_length,Sentiment
2025-10-26 09:38:23,Pengguna Google,5,very help me for learn a new languages,very help me for learn a new languages,very help me for learn a new languages,very help me for learn a new languages,"['very', 'help', 'me', 'for', 'learn', 'a', 'new', 'languages']","['very', 'help', 'me', 'for', 'learn', 'a', 'new', 'languages']",very help me for learn a new languages,38,Negatif
2025-10-26 09:31:10,Pengguna Google,4,kenapa sekarang nyawanya pake batre bukan pake hati lagi,kenapa sekarang nyawanya pake batre bukan pake hati lagi,kenapa sekarang nyawanya pake batre bukan pake hati lagi,kenapa sekarang nyawanya pakai batre bukan pakai hati lagi,"['kenapa', 'sekarang', 'nyawanya', 'pakai', 'batre', 'bukan', 'pakai', 'hati', 'lagi']","['nyawanya', 'pakai', 'batre', 'pakai', 'hati']",nyawa pakai batre pakai hati,56,Negatif
2025-10-26 09:28:18,Pengguna Google,5,Amazing,Amazing,amazing,amazing,['amazing'],['amazing'],amazing,7,Negatif
2025-10-26 09:21:04,Pengguna Google,5,bagus banget,bagus banget,bagus banget,bagus banget,"['bagus', 'banget']","['bagus', 'banget']",bagus banget,12,Positif
2025-10-26 09:18:16,Pengguna Google,5,this is best cursus,this is best cursus,this is best cursus,this is best cursus,"['this', 'is', 'best', 'cursus']","['this', 'is', 'best', 'cursus']",this is best cursus,19,Negatif
2025-10-26 09:12:45,Pengguna Google,5,seru dan bikin tau,seru dan bikin tau,seru dan bikin tau,seru dan bikin tau,"['seru', 'dan', 'bikin', 'tau']","['seru', 'bikin', 'tau']",seru bikin tau,18,Positif
2025-10-26 09:07:20,Pengguna Google,5,terimakasih yah duolingo aku udah mulai bisa bahasa inggris karena kamu semoga kamu liat pesan ini yahh,terimakasih yah duolingo aku udah mulai bisa bahasa inggris karena kamu semoga kamu liat pesan ini yahh,terimakasih yah duolingo aku udah mulai bisa bahasa inggris karena kamu semoga kamu liat pesan ini yahh,terimakasih ya duolingo aku sudah mulai bisa bahasa inggris karena kamu semoga kamu lihat pesan ini ya,"['terimakasih', 'ya', 'duolingo', 'aku', 'sudah', 'mulai', 'bisa', 'bahasa', 'inggris', 'karena', 'kamu', 'semoga', 'kamu', 'lihat', 'pesan', 'ini', 'ya']","['terimakasih', 'ya', 'duolingo', 'bahasa', 'inggris', 'semoga', 'lihat', 'pesan', 'ya']",terimakasih ya duolingo bahasa inggris moga lihat pesan ya,103,Positif
2025-10-26 08:56:11,Pengguna Google,2,"Terlalu sering iklan, fitur energi sangat buruk dan terjadi bug.sebelumnya energi nya 20 setelah dan 1 menit kemudian aku membuka aplikasi energi nya tinggal 3",Terlalu sering iklan fitur energi sangat buruk dan terjadi bugsebelumnya energi nya  setelah dan  menit kemudian aku membuka aplikasi energi nya tinggal ,terlalu sering iklan fitur energi sangat buruk dan terjadi bugsebelumnya energi nya  setelah dan  menit kemudian aku membuka aplikasi energi nya tinggal ,terlalu sering iklan fitur energi sangat buruk dan terjadi bugsebelumnya energi ya setelah dan menit kemudian aku membuka aplikasi energi ya tinggal,"['terlalu', 'sering', 'iklan', 'fitur', 'energi', 'sangat', 'buruk', 'dan', 'terjadi', 'bugsebelumnya', 'energi', 'ya', 'setelah', 'dan', 'menit', 'kemudian', 'aku', 'membuka', 'aplikasi', 'energi', 'ya', 'tinggal']","['iklan', 'fitur', 'energi', 'buruk', 'bugsebelumnya', 'energi', 'ya', 'menit', 'membuka', 'aplikasi', 'energi', 'ya', 'tinggal']",iklan fitur energi buruk bugsebelumnya energi ya menit buka aplikasi energi ya tinggal,153,Negatif
2025-10-26 08:51:08,Pengguna Google,5,sangat berguna dalam belajar bahasa,sangat berguna dalam belajar bahasa,sangat berguna dalam belajar bahasa,sangat berguna dalam belajar bahasa,"['sangat', 'berguna', 'dalam', 'belajar', 'bahasa']","['berguna', 'belajar', 'bahasa']",guna ajar bahasa,35,Positif
2025-10-26 08:41:12,Pengguna Google,4,"mending pakai hati,berkurang karena salah jawab,kalo pakai energi belajarnya susah.",mending pakai hatiberkurang karena salah jawabkalo pakai energi belajarnya susah,mending pakai hatiberkurang karena salah jawabkalo pakai energi belajarnya susah,mending pakai hatiberkurang karena salah jawabkalo pakai energi belajarnya susah,"['mending', 'pakai', 'hatiberkurang', 'karena', 'salah', 'jawabkalo', 'pakai', 'energi', 'belajarnya', 'susah']","['mending', 'pakai', 'hatiberkurang', 'salah', 'jawabkalo', 'pakai', 'energi', 'belajarnya', 'susah']",mending pakai hatiberkurang salah jawabkalo pakai energi ajar susah,80,Negatif
2025-10-26 08:37:51,Pengguna Google,3,"mending ganti mode hati aja dari pada kayak gini ga jelas, ditengah belajar gada salah malah habis, kocak",mending ganti mode hati aja dari pada kayak gini ga jelas ditengah belajar gada salah malah habis kocak,mending ganti mode hati aja dari pada kayak gini ga jelas ditengah belajar gada salah malah habis kocak,mending ganti mode hati saja dari pada kayak begini tidak jelas ditengah belajar salah malah habis kocak,"['mending', 'ganti', 'mode', 'hati', 'saja', 'dari', 'pada', 'kayak', 'begini', 'tidak', 'jelas', 'ditengah', 'belajar', 'salah', 'malah', 'habis', 'kocak']","['mending', 'ganti', 'mode', 'hati', 'kayak', 'ditengah', 'belajar', 'salah', 'habis', 'kocak']",mending ganti mode hati kayak tengah ajar salah habis kocak,103,Negatif
2025-10-26 08:21:30,Pengguna Google,5,sangat sempurna,sangat sempurna,sangat sempurna,sangat sempurna,"['sangat', 'sempurna']",['sempurna'],sempurna,15,Netral
2025-10-26 08:18:02,Pengguna Google,5,belajar bahasa,belajar bahasa,belajar bahasa,belajar bahasa,"['belajar', 'bahasa']","['belajar', 'bahasa']",ajar bahasa,14,Positif
2025-10-26 08:10:44,Pengguna Google,5,aplikasi ini sangat seru bisa membimbing kita dalam bahasa Inggris,aplikasi ini sangat seru bisa membimbing kita dalam bahasa Inggris,aplikasi ini sangat seru bisa membimbing kita dalam bahasa inggris,aplikasi ini sangat seru bisa membimbing kita dalam bahasa inggris,"['aplikasi', 'ini', 'sangat', 'seru', 'bisa', 'membimbing', 'kita', 'dalam', 'bahasa', 'inggris']","['aplikasi', 'seru', 'membimbing', 'bahasa', 'inggris']",aplikasi seru bimbing bahasa inggris,66,Positif
2025-10-26 08:08:02,Pengguna Google,5,lumayan membantu untuk belajar,lumayan membantu untuk belajar,lumayan membantu untuk belajar,lumayan membantu untuk belajar,"['lumayan', 'membantu', 'untuk', 'belajar']","['lumayan', 'membantu', 'belajar']",lumayan bantu ajar,30,Positif
2025-10-26 08:00:12,Pengguna Google,5,˖⁠♡ aku suka duolingo........., aku suka duolingo, aku suka duolingo,aku suka duolingo,"['aku', 'suka', 'duolingo']","['suka', 'duolingo']",suka duolingo,18,Positif
2025-10-26 07:59:25,Pengguna Google,2,ya sangat enak untuk bahwa ini,ya sangat enak untuk bahwa ini,ya sangat enak untuk bahwa ini,ya sangat enak untuk bahwa ini,"['ya', 'sangat', 'enak', 'untuk', 'bahwa', 'ini']","['ya', 'enak']",ya enak,30,Netral
2025-10-26 07:48:12,Pengguna Google,5,SERUUU,SERUUU,seruuu,seru,['seru'],['seru'],seru,6,Positif
2025-10-26 07:43:54,Pengguna Google,5,senang belajar dengan Bird cute ini bernama duolingo dia lucu membantu aku baik I love u duolingo❤❤❤,senang belajar dengan Bird cute ini bernama duolingo dia lucu membantu aku baik I love u duolingo,senang belajar dengan bird cute ini bernama duolingo dia lucu membantu aku baik i love u duolingo,senang belajar dengan biru cute ini bernama duolingo dia lucu membantu aku baik i love lu duolingo,"['senang', 'belajar', 'dengan', 'biru', 'cute', 'ini', 'bernama', 'duolingo', 'dia', 'lucu', 'membantu', 'aku', 'baik', 'i', 'love', 'lu', 'duolingo']","['senang', 'belajar', 'biru', 'cute', 'bernama', 'duolingo', 'lucu', 'membantu', 'i', 'love', 'lu', 'duolingo']",senang ajar biru cute nama duolingo lucu bantu i love lu duolingo,97,Positif
